Network Name,Full Component Name,Label Name,
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_1
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_2
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_3
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_4
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_5
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_6
central visual  ,striate cortex,17Networks_LH_VisCent_Striate,17Networks_LH_VisCent_Striate_1
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_7
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_8
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_9
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_10
central visual,extrastriate cortex,17Networks_LH_VisCent_ExStr,17Networks_LH_VisCent_ExStr_11
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_1
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_2
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_3
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_4
peripheral visual,extra-striate inferior,17Networks_LH_VisPeri_ExStrInf,17Networks_LH_VisPeri_ExStrInf_5
peripheral visual ,striate calcarine,17Networks_LH_VisPeri_StriCal,17Networks_LH_VisPeri_StriCal_1
peripheral visual ,striate calcarine,17Networks_LH_VisPeri_StriCal,17Networks_LH_VisPeri_StriCal_2
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_1
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_2
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_3
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_4
peripheral visual,extra-striate superior,17Networks_LH_VisPeri_ExStrSup,17Networks_LH_VisPeri_ExStrSup_5
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_1
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_2
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_3
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_4
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_5
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_6
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_7
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_8
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_9
